52975,1,29
52975,16,5
238217,16,5
238217,2,47
238741,0,29
238987,2,47
238987,1,29
252731,1,29
252731,16,5
438230,16,5
438230,2,47
438737,0,29
438999,2,47
438999,1,29
452744,1,29
452744,16,5
626421,16,5
626421,2,47
626906,0,39
627157,2,47
627157,1,39
627559,1,39
627559,16,5
638225,16,5
638225,2,47
638772,0,29
639034,2,47
639034,1,29
652784,1,29
652784,16,5
838226,16,5
838226,2,47
838773,0,29
839027,2,47
839027,1,29
852780,1,29
852780,16,5
1038227,16,5
1038227,2,47
1038768,0,29
1039029,2,47
1039029,1,29
1052861,1,29
1052861,16,5
1238229,16,5
1238229,2,47
1238782,0,29
1239032,2,47
1239032,1,29
1252784,1,29
1252784,16,5
1438223,16,5
1438223,2,47
1438702,0,29
1438961,2,47
1438961,1,29
1452703,1,29
1452703,16,5
1626420,16,5
1626420,2,47
1626895,0,39
1627147,2,47
1627147,1,39
1627564,1,39
1627564,16,5
1638232,16,5
1638232,2,47
1638795,0,29
1639043,2,47
1639043,1,29
1652890,1,29
1652890,16,5
1838229,16,5
1838229,2,47
1838771,0,29
1839018,2,47
1839018,1,29
1852773,1,29
1852773,16,5
2038225,16,5
2038225,2,47
2038720,0,29
2038971,2,47
2038971,1,29
2044840,16,29
2044840,2,47
2045241,0,17
2045423,2,47
2045423,16,29
2054105,1,29
2054105,1,17
2238201,16,17
2238201,2,47
2238658,0,29
2238874,2,47
2238874,1,29
2252597,1,29
2252597,16,17
2438201,16,17
2438201,2,47
2438601,0,29
2438818,2,47
2438818,1,29
2452528,1,29
2452528,16,17
2597604,1,17
2597604,16,5
2626396,16,5
2626396,2,47
2626815,0,39
2627040,2,47
2627040,1,39
2627387,1,39
2627387,16,5
2638201,16,5
2638201,2,47
2638646,0,29
2638860,2,47
2638860,1,29
2652580,1,29
2652580,16,5
2838201,16,5
2838201,2,47
2838647,0,29
2838864,2,47
2838864,1,29
2852583,1,29
2852583,16,5
3038207,16,5
3038207,2,47
3038664,0,29
3038889,2,47
3038889,1,29
3052707,1,29
3052707,16,5
3238207,16,5
3238207,2,47
3238677,0,29
3238904,2,47
3238904,1,29
3252652,1,29
3252652,16,5
3438207,16,5
3438207,2,47
3438622,0,29
3438850,2,47
3438850,1,29
3452581,1,29
3452581,16,5
3626399,16,5
3626399,2,47
3626847,0,39
3627095,2,47
3627095,1,39
3627491,1,39
3627491,16,5
3638205,16,5
3638205,2,47
3638700,0,29
3638937,2,47
3638937,1,29
3652724,1,29
3652724,16,5
3838212,16,5
3838212,2,47
3838697,0,29
3838927,2,47
3838927,1,29
3852674,1,29
3852674,16,5
4038224,16,5
4038224,2,47
4038761,0,29
4039016,2,47
4039016,1,29
4052963,1,29
4052963,16,5
4238216,16,5
4238216,2,47
4238729,0,29
4238983,2,47
4238983,1,29
4252732,1,29
4252732,16,5
4438230,16,5
4438230,2,47
4438724,0,29
4438982,2,47
4438982,1,29
4452729,1,29
4452729,16,5
4626407,16,5
4626407,2,47
4626868,0,39
4627110,2,47
4627110,1,39
4627512,1,39
4627512,16,5
4638225,16,5
4638225,2,47
4638771,0,29
4639025,2,47
4639025,1,29
4652770,1,29
4652770,16,5
4838229,16,5
4838229,2,47
4838767,0,29
4839024,2,47
4839024,1,29
4852776,1,29
4852776,16,5
5038217,16,5
5038217,2,47
5038756,0,29
5039024,2,47
5039024,1,29
5052855,1,29
5052855,16,5
5238229,16,5
5238229,2,47
5238787,0,29
5239043,2,47
5239043,1,29
5252792,1,29
5252792,16,5
5438238,16,5
5438238,2,47
5438737,0,29
5439003,2,47
5439003,1,29
5452744,1,29
5452744,16,5
5626409,16,5
5626409,2,47
5626888,0,39
5627134,2,47
5627134,1,39
5627520,1,39
5627520,16,5
5638232,16,5
5638232,2,47
5638781,0,29
5639031,2,47
5639031,1,29
5652825,1,29
5652825,16,5
5838225,16,5
5838225,2,47
5838786,0,29
5839044,2,47
5839044,1,29
5852793,1,29
5852793,16,5
6038227,16,5
6038227,2,47
6038772,0,29
6039029,2,47
6039029,1,29
6052975,1,29
6052975,16,5
6238211,16,5
6238211,2,47
6238713,0,29
6238977,2,47
6238977,1,29
6252726,1,29
6252726,16,5
6438219,16,5
6438219,2,47
6438706,0,29
6438965,2,47
6438965,1,29
6452712,1,29
6452712,16,5
6626413,16,5
6626413,2,47
6626904,0,39
6627156,2,47
6627156,1,39
6627572,1,39
6627572,16,5
6638234,16,5
6638234,2,47
6638793,0,29
6639042,2,47
6639042,1,29
6652787,1,29
6652787,16,5
6838229,16,5
6838229,2,47
6838763,0,29
6839015,2,47
6839015,1,29
6852770,1,29
6852770,16,5
7038224,16,5
7038224,2,47
7038770,0,29
7039024,2,47
7039024,1,29
7052930,1,29
7052930,16,5
7238229,16,5
7238229,2,47
7238770,0,29
7239023,2,47
7239023,1,29
7252775,1,29
7252775,16,5
7438223,16,5
7438223,2,47
7438713,0,29
7438980,2,47
7438980,1,29
7452717,1,29
7452717,16,5
7626412,16,5
7626412,2,47
7626877,0,39
7627110,2,47
7627110,1,39
7627500,1,39
7627500,16,5
7638224,16,5
7638224,2,47
7638794,0,29
7639061,2,47
7639061,1,29
7652847,1,29
7652847,16,5
7838232,16,5
7838232,2,47
7838781,0,29
7839041,2,47
7839041,1,29
7852792,1,29
7852792,16,5
8038230,16,5
8038230,2,47
8038779,0,29
8039031,2,47
8039031,1,29
8052978,1,29
